n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads
15,58,26,RandomSampler,exact,False,0,,165.2615534362208,,0.001,5,10
15,49,27,RandomSampler,lucas,False,0,,116.00000000000006,,0.0,5,10
15,49,27,RandomSampler,exact,False,0,,116.00000000000006,,0.0,5,10
15,55,28,RandomSampler,lucas,False,0,,145.0,,0.0,5,10
15,55,28,RandomSampler,exact,False,0,,145.0,,0.002,5,10
15,53,29,RandomSampler,lucas,False,0,,140.06484781312813,,0.001,5,10
15,53,29,RandomSampler,exact,False,0,,140.06484781312813,,0.0,5,10
15,45,30,RandomSampler,lucas,False,0,,100.00000000000006,,0.001,5,10
15,45,30,RandomSampler,exact,False,0,,100.00000000000006,,0.0,5,10
15,55,31,RandomSampler,lucas,False,0,,145.0,,0.001,5,10
15,55,31,RandomSampler,exact,False,0,,145.0,,0.001,5,10
15,57,32,RandomSampler,lucas,False,0,,155.0,,0.0,5,10
15,57,32,RandomSampler,exact,False,0,,155.0,,0.001,5,10
15,53,33,RandomSampler,lucas,False,0,,135.0,,0.001,5,10
15,53,33,RandomSampler,exact,False,0,,135.0,,0.0,5,10
15,38,34,RandomSampler,lucas,False,0,,73.97972910718417,,0.0,5,10
15,38,34,RandomSampler,exact,False,0,,73.97972910718417,,0.0,5,10
15,50,35,RandomSampler,lucas,False,0,,120.00000000000006,,0.0,5,10
15,50,35,RandomSampler,exact,False,0,,120.00000000000006,,0.001,5,10
15,51,36,RandomSampler,lucas,False,0,,125.0,,0.0,5,10
15,51,36,RandomSampler,exact,False,0,,125.0,,0.0,5,10
15,56,37,RandomSampler,lucas,False,0,,150.0,,0.0,5,10
15,56,37,RandomSampler,exact,False,0,,150.0,,0.0,5,10
15,53,38,RandomSampler,lucas,False,0,,135.0,,0.0,5,10
15,53,38,RandomSampler,exact,False,0,,135.0,,0.001,5,10
15,48,39,RandomSampler,lucas,False,0,,112.00000000000006,,0.0,5,10
15,48,39,RandomSampler,exact,False,0,,112.00000000000006,,0.0,5,10
15,58,40,RandomSampler,lucas,False,0,,160.0,,0.001,5,10
15,58,40,RandomSampler,exact,False,0,,160.0,,0.0,5,10
15,61,41,RandomSampler,lucas,False,0,,176.0,,0.001,5,10
15,61,41,RandomSampler,exact,False,0,,176.0,,0.001,5,10
15,55,42,RandomSampler,lucas,False,0,,145.0,,0.001,5,10
15,55,42,RandomSampler,exact,False,0,,145.0,,0.0,5,10
15,55,43,RandomSampler,lucas,False,0,,153.7294979104635,,0.0,5,10
15,55,43,RandomSampler,exact,False,0,,153.7294979104635,,0.002,5,10
15,56,44,RandomSampler,lucas,False,0,,150.0,,0.0,5,10
15,56,44,RandomSampler,exact,False,0,,150.0,,0.0,5,10
15,48,45,RandomSampler,lucas,False,0,,116.86219157325144,,0.0,5,10
15,48,45,RandomSampler,exact,False,0,,116.86219157325144,,0.0,5,10
15,54,46,RandomSampler,lucas,False,0,,140.0,,0.001,5,10
15,54,46,RandomSampler,exact,False,0,,140.0,,0.001,5,10
15,48,47,RandomSampler,lucas,False,0,,116.66655008145095,,0.001,5,10
15,48,47,RandomSampler,exact,False,0,,116.66655008145095,,0.001,5,10
15,56,48,RandomSampler,lucas,False,0,,150.0,,0.0,5,10
15,56,48,RandomSampler,exact,False,0,,150.0,,0.0,5,10
15,47,49,RandomSampler,lucas,False,0,,108.00000000000006,,0.001,5,10
15,47,49,RandomSampler,exact,False,0,,108.00000000000006,,0.0,5,10
15,53,50,RandomSampler,lucas,False,0,,135.0,,0.0,5,10
15,53,50,RandomSampler,exact,False,0,,135.0,,0.001,5,10
15,52,51,RandomSampler,lucas,False,0,,130.0,,0.001,5,10
15,52,51,RandomSampler,exact,False,0,,130.0,,0.001,5,10
15,51,52,RandomSampler,lucas,False,0,,130.30859168035425,,0.0,5,10
15,51,52,RandomSampler,exact,False,0,,130.30859168035425,,0.001,5,10
15,51,53,RandomSampler,lucas,False,0,,125.0,,0.001,5,10
15,51,53,RandomSampler,exact,False,0,,125.0,,0.0,5,10
15,51,54,RandomSampler,lucas,False,0,,125.0,,0.001,5,10
15,51,54,RandomSampler,exact,False,0,,125.0,,0.001,5,10
15,61,55,RandomSampler,lucas,False,0,,176.0,,0.0,5,10
15,61,55,RandomSampler,exact,False,0,,176.0,,0.0,5,10
15,52,56,RandomSampler,lucas,False,0,,130.0,,0.002,5,10
15,52,56,RandomSampler,exact,False,0,,130.0,,0.001,5,10
