solver,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,trotters,feasible,minla_cost,lower_bound,approx_ratio,time_s,gamma
OpenJijSA,10,26,100,456,500,0.1,0.1,1,False,,54.000000000000014,,0.018,0.0
OpenJijSA,10,26,100,789,500,0.1,0.1,1,False,,54.000000000000014,,0.018,0.0
OpenJijSA,10,26,100,999,500,0.1,0.1,1,False,,54.000000000000014,,0.018,0.0
OpenJijSA,10,26,100,42,500,0.1,0.3,1,False,,54.000000000000014,,0.015,0.0
OpenJijSA,10,26,100,123,500,0.1,0.3,1,False,,54.000000000000014,,0.015,0.0
OpenJijSA,10,26,100,456,500,0.1,0.3,1,False,,54.000000000000014,,0.015,0.0
OpenJijSA,10,26,100,789,500,0.1,0.3,1,False,,54.000000000000014,,0.015,0.0
OpenJijSA,10,26,100,999,500,0.1,0.3,1,False,,54.000000000000014,,0.015,0.0
OpenJijSA,10,26,100,42,500,0.1,0.5,1,False,,54.000000000000014,,0.014,0.0
OpenJijSA,10,26,100,123,500,0.1,0.5,1,True,81.0,54.000000000000014,1.4999999999999996,0.014,0.0
OpenJijSA,10,26,100,456,500,0.1,0.5,1,True,84.0,54.000000000000014,1.5555555555555551,0.013,0.0
OpenJijSA,10,26,100,789,500,0.1,0.5,1,False,,54.000000000000014,,0.014,0.0
OpenJijSA,10,26,100,999,500,0.1,0.5,1,False,,54.000000000000014,,0.014,0.0
OpenJijSA,10,26,100,42,500,0.1,1.0,1,True,72.0,54.000000000000014,1.333333333333333,0.013,0.0
OpenJijSA,10,26,100,123,500,0.1,1.0,1,True,64.0,54.000000000000014,1.185185185185185,0.013,0.0
OpenJijSA,10,26,100,456,500,0.1,1.0,1,True,85.0,54.000000000000014,1.5740740740740735,0.012,0.0
OpenJijSA,10,26,100,789,500,0.1,1.0,1,True,67.0,54.000000000000014,1.2407407407407405,0.012,0.0
OpenJijSA,10,26,100,999,500,0.1,1.0,1,True,69.0,54.000000000000014,1.2777777777777777,0.012,0.0
