solver,penalty,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,1.0,linear,True,68.0,54.000000000000014,1.2592592592592589,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,1.0,linear,True,65.0,54.000000000000014,1.2037037037037033,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,1.0,geometric,True,66.0,54.000000000000014,1.222222222222222,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,1.0,geometric,True,69.0,54.000000000000014,1.2777777777777777,0.003
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,1.0,geometric,True,68.0,54.000000000000014,1.2592592592592589,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,1.0,geometric,True,73.0,54.000000000000014,1.3518518518518514,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,1.0,geometric,True,71.0,54.000000000000014,1.3148148148148144,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,5.0,linear,True,77.0,54.000000000000014,1.4259259259259256,0.001
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,5.0,linear,True,70.0,54.000000000000014,1.296296296296296,0.001
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,5.0,linear,True,78.0,54.000000000000014,1.444444444444444,0.001
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,5.0,linear,True,75.0,54.000000000000014,1.3888888888888886,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,5.0,linear,True,65.0,54.000000000000014,1.2037037037037033,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,5.0,geometric,True,72.0,54.000000000000014,1.333333333333333,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,5.0,geometric,True,71.0,54.000000000000014,1.3148148148148144,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,5.0,geometric,True,65.0,54.000000000000014,1.2037037037037033,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,5.0,geometric,True,69.0,54.000000000000014,1.2777777777777777,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,5.0,geometric,True,68.0,54.000000000000014,1.2592592592592589,0.002
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,10.0,linear,True,71.0,54.000000000000014,1.3148148148148144,0.001
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,10.0,linear,True,73.0,54.000000000000014,1.3518518518518514,0.001
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,10.0,linear,True,81.0,54.000000000000014,1.4999999999999996,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,10.0,linear,True,76.0,54.000000000000014,1.407407407407407,0.001
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,10.0,linear,True,86.0,54.000000000000014,1.592592592592592,0.001
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.01,10.0,geometric,True,70.0,54.000000000000014,1.296296296296296,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.01,10.0,geometric,True,67.0,54.000000000000014,1.2407407407407405,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.01,10.0,geometric,True,66.0,54.000000000000014,1.222222222222222,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.01,10.0,geometric,True,79.0,54.000000000000014,1.4629629629629626,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.01,10.0,geometric,True,79.0,54.000000000000014,1.4629629629629626,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.1,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.1,0.1,linear,False,,54.000000000000014,,0.004
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.1,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.1,0.1,linear,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.1,0.1,linear,False,,54.000000000000014,,0.004
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.1,0.1,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,123,100,0.1,0.1,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,456,100,0.1,0.1,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,789,100,0.1,0.1,geometric,False,,54.000000000000014,,0.002
SimulatedAnnealingSampler,lucas,10,26,100,999,100,0.1,0.1,geometric,False,,54.000000000000014,,0.003
SimulatedAnnealingSampler,lucas,10,26,100,42,100,0.1,0.3,linear,False,,54.000000000000014,,0.002
