solver,num_sweeps,beta_min,beta_max,trotters,gamma,feasibility_rate,mean_approx_ratio,mean_time_s,num_runs
OpenJijSA,500,1e-06,0.001,1,0.0,0.0,,0.0738,25
OpenJijSA,500,1e-06,0.01,1,0.0,0.0,,0.07523999999999999,25
OpenJijSA,500,1e-06,0.1,1,0.0,0.0,,0.07355999999999999,25
OpenJijSA,500,1e-06,1.0,1,0.0,0.12,1.4870370370370367,0.06992,25
OpenJijSA,500,1e-06,10.0,1,0.0,0.24,1.5112773029439692,0.06504,25
OpenJijSA,500,1e-06,100.0,1,0.0,0.28,1.4977513227513224,0.062200000000000005,25
OpenJijSA,500,1e-06,1000.0,1,0.0,0.28,1.5780423280423277,0.05839999999999999,25
OpenJijSA,500,1e-06,10000.0,1,0.0,0.2,1.4883333333333333,0.0562,25
OpenJijSA,500,1e-06,100000.0,1,0.0,0.12,1.575,0.05528,25
OpenJijSA,500,1e-06,1000000.0,1,0.0,0.28,1.5403439153439151,0.053239999999999996,25
OpenJijSA,500,1e-06,10000000.0,1,0.0,0.2,1.4742592592592592,0.052039999999999996,25
OpenJijSA,500,1e-06,100000000.0,1,0.0,0.12,1.4589506172839506,0.05116,25
OpenJijSA,500,1e-06,1000000000.0,1,0.0,0.04,1.525,0.05116,25
OpenJijSA,500,1e-05,1e-05,1,0.0,0.0,,0.07968,25
OpenJijSA,500,1e-05,0.0001,1,0.0,0.0,,0.07624,25
OpenJijSA,500,1e-05,0.001,1,0.0,0.0,,0.07472000000000001,25
OpenJijSA,500,1e-05,0.01,1,0.0,0.0,,0.07712,25
OpenJijSA,500,1e-05,0.1,1,0.0,0.0,,0.07452,25
OpenJijSA,500,1e-05,1.0,1,0.0,0.36,1.4718819246597021,0.06796,25
OpenJijSA,500,1e-05,10.0,1,0.0,0.28,1.5014550264550264,0.06368,25
OpenJijSA,500,1e-05,100.0,1,0.0,0.16,1.36875,0.05987999999999999,25
OpenJijSA,500,1e-05,1000.0,1,0.0,0.36,1.5038065843621395,0.05716,25
OpenJijSA,500,1e-05,10000.0,1,0.0,0.16,1.6281160968660966,0.0548,25
