solver,n,m,graph_id,seed,num_sweeps,beta_min,beta_max,beta_schedule_type,feasible,minla_cost,lower_bound,approx_ratio,time_s
SimulatedAnnealingSampler,10,22,101,999,1000,1e-09,10,geometric,True,57.0,40.0,1.425,0.016
SimulatedAnnealingSampler,10,22,101,42,1000,0.01,1,linear,True,55.0,40.0,1.375,0.01
SimulatedAnnealingSampler,10,22,101,123,1000,0.01,1,linear,True,54.0,40.0,1.35,0.01
SimulatedAnnealingSampler,10,22,101,456,1000,0.01,1,linear,True,55.0,40.0,1.375,0.01
SimulatedAnnealingSampler,10,22,101,789,1000,0.01,1,linear,True,55.0,40.0,1.375,0.01
SimulatedAnnealingSampler,10,22,101,999,1000,0.01,1,linear,True,55.0,40.0,1.375,0.01
SimulatedAnnealingSampler,10,22,101,42,1000,0.01,1,geometric,True,56.0,40.0,1.4,0.02
SimulatedAnnealingSampler,10,22,101,123,1000,0.01,1,geometric,True,54.0,40.0,1.35,0.02
SimulatedAnnealingSampler,10,22,101,456,1000,0.01,1,geometric,True,55.0,40.0,1.375,0.02
SimulatedAnnealingSampler,10,22,101,789,1000,0.01,1,geometric,True,54.0,40.0,1.35,0.02
SimulatedAnnealingSampler,10,22,101,999,1000,0.01,1,geometric,True,56.0,40.0,1.4,0.02
SimulatedAnnealingSampler,15,46,100,42,100,1e-09,1,linear,True,174.0,104.00000000000006,1.6730769230769222,0.004
SimulatedAnnealingSampler,15,46,100,123,100,1e-09,1,linear,True,183.0,104.00000000000006,1.7596153846153837,0.003
SimulatedAnnealingSampler,15,46,100,456,100,1e-09,1,linear,True,182.0,104.00000000000006,1.7499999999999991,0.003
SimulatedAnnealingSampler,15,46,100,789,100,1e-09,1,linear,False,,104.00000000000006,,0.003
SimulatedAnnealingSampler,15,46,100,999,100,1e-09,1,linear,False,,104.00000000000006,,0.003
SimulatedAnnealingSampler,15,46,100,42,100,1e-09,1,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,123,100,1e-09,1,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,456,100,1e-09,1,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,789,100,1e-09,1,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,999,100,1e-09,1,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,42,100,1e-09,10,linear,False,,104.00000000000006,,0.002
SimulatedAnnealingSampler,15,46,100,123,100,1e-09,10,linear,False,,104.00000000000006,,0.002
SimulatedAnnealingSampler,15,46,100,456,100,1e-09,10,linear,False,,104.00000000000006,,0.002
SimulatedAnnealingSampler,15,46,100,789,100,1e-09,10,linear,False,,104.00000000000006,,0.002
SimulatedAnnealingSampler,15,46,100,999,100,1e-09,10,linear,False,,104.00000000000006,,0.002
SimulatedAnnealingSampler,15,46,100,42,100,1e-09,10,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,123,100,1e-09,10,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,456,100,1e-09,10,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,789,100,1e-09,10,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,999,100,1e-09,10,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,42,100,0.01,1,linear,True,202.0,104.00000000000006,1.9423076923076912,0.003
SimulatedAnnealingSampler,15,46,100,123,100,0.01,1,linear,True,192.0,104.00000000000006,1.8461538461538451,0.003
SimulatedAnnealingSampler,15,46,100,456,100,0.01,1,linear,True,173.0,104.00000000000006,1.6634615384615377,0.003
SimulatedAnnealingSampler,15,46,100,789,100,0.01,1,linear,True,196.0,104.00000000000006,1.8846153846153837,0.003
SimulatedAnnealingSampler,15,46,100,999,100,0.01,1,linear,True,198.0,104.00000000000006,1.9038461538461529,0.003
SimulatedAnnealingSampler,15,46,100,42,100,0.01,1,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,123,100,0.01,1,geometric,False,,104.00000000000006,,0.005
SimulatedAnnealingSampler,15,46,100,456,100,0.01,1,geometric,False,,104.00000000000006,,0.006
SimulatedAnnealingSampler,15,46,100,789,100,0.01,1,geometric,False,,104.00000000000006,,0.005
SimulatedAnnealingSampler,15,46,100,999,100,0.01,1,geometric,False,,104.00000000000006,,0.005
SimulatedAnnealingSampler,15,46,100,42,500,1e-09,1,linear,True,162.0,104.00000000000006,1.5576923076923068,0.011
SimulatedAnnealingSampler,15,46,100,123,500,1e-09,1,linear,True,162.0,104.00000000000006,1.5576923076923068,0.011
SimulatedAnnealingSampler,15,46,100,456,500,1e-09,1,linear,True,166.0,104.00000000000006,1.5961538461538454,0.011
SimulatedAnnealingSampler,15,46,100,789,500,1e-09,1,linear,True,161.0,104.00000000000006,1.5480769230769222,0.011
SimulatedAnnealingSampler,15,46,100,999,500,1e-09,1,linear,True,169.0,104.00000000000006,1.6249999999999991,0.011
SimulatedAnnealingSampler,15,46,100,42,500,1e-09,1,geometric,True,182.0,104.00000000000006,1.7499999999999991,0.026
SimulatedAnnealingSampler,15,46,100,123,500,1e-09,1,geometric,True,180.0,104.00000000000006,1.7307692307692295,0.027
SimulatedAnnealingSampler,15,46,100,456,500,1e-09,1,geometric,True,193.0,104.00000000000006,1.8557692307692295,0.034
SimulatedAnnealingSampler,15,46,100,789,500,1e-09,1,geometric,False,,104.00000000000006,,0.029
SimulatedAnnealingSampler,15,46,100,999,500,1e-09,1,geometric,False,,104.00000000000006,,0.026
SimulatedAnnealingSampler,15,46,100,42,500,1e-09,10,linear,True,177.0,104.00000000000006,1.701923076923076,0.004
SimulatedAnnealingSampler,15,46,100,123,500,1e-09,10,linear,True,219.0,104.00000000000006,2.1057692307692295,0.004
SimulatedAnnealingSampler,15,46,100,456,500,1e-09,10,linear,False,,104.00000000000006,,0.004
SimulatedAnnealingSampler,15,46,100,789,500,1e-09,10,linear,False,,104.00000000000006,,0.004
SimulatedAnnealingSampler,15,46,100,999,500,1e-09,10,linear,False,,104.00000000000006,,0.004
SimulatedAnnealingSampler,15,46,100,42,500,1e-09,10,geometric,False,,104.00000000000006,,0.024
SimulatedAnnealingSampler,15,46,100,123,500,1e-09,10,geometric,True,188.0,104.00000000000006,1.8076923076923064,0.024
SimulatedAnnealingSampler,15,46,100,456,500,1e-09,10,geometric,False,,104.00000000000006,,0.024
SimulatedAnnealingSampler,15,46,100,789,500,1e-09,10,geometric,True,200.0,104.00000000000006,1.923076923076922,0.024
SimulatedAnnealingSampler,15,46,100,999,500,1e-09,10,geometric,False,,104.00000000000006,,0.024
SimulatedAnnealingSampler,15,46,100,42,500,0.01,1,linear,True,169.0,104.00000000000006,1.6249999999999991,0.011
SimulatedAnnealingSampler,15,46,100,123,500,0.01,1,linear,True,171.0,104.00000000000006,1.6442307692307685,0.011
SimulatedAnnealingSampler,15,46,100,456,500,0.01,1,linear,True,168.0,104.00000000000006,1.6153846153846143,0.011
SimulatedAnnealingSampler,15,46,100,789,500,0.01,1,linear,True,161.0,104.00000000000006,1.5480769230769222,0.011
SimulatedAnnealingSampler,15,46,100,999,500,0.01,1,linear,True,170.0,104.00000000000006,1.6346153846153837,0.011
SimulatedAnnealingSampler,15,46,100,42,500,0.01,1,geometric,True,174.0,104.00000000000006,1.6730769230769222,0.021
SimulatedAnnealingSampler,15,46,100,123,500,0.01,1,geometric,True,171.0,104.00000000000006,1.6442307692307685,0.021
SimulatedAnnealingSampler,15,46,100,456,500,0.01,1,geometric,True,198.0,104.00000000000006,1.9038461538461529,0.021
SimulatedAnnealingSampler,15,46,100,789,500,0.01,1,geometric,True,163.0,104.00000000000006,1.5673076923076914,0.021
SimulatedAnnealingSampler,15,46,100,999,500,0.01,1,geometric,True,186.0,104.00000000000006,1.7884615384615374,0.021
SimulatedAnnealingSampler,15,46,100,42,1000,1e-09,1,linear,True,159.0,104.00000000000006,1.528846153846153,0.021
SimulatedAnnealingSampler,15,46,100,123,1000,1e-09,1,linear,True,159.0,104.00000000000006,1.528846153846153,0.02
SimulatedAnnealingSampler,15,46,100,456,1000,1e-09,1,linear,True,164.0,104.00000000000006,1.576923076923076,0.02
