n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,time_s
25,151,1e-06,10.0,False,power (1/2),default,789,1329.0,False,,0.022
25,151,1e-06,10.0,False,power (1/2),default,999,1337.0,False,,0.022
25,151,1e-05,1e-05,False,power (1/2),default,42,10559.0,False,,0.147
25,151,1e-05,1e-05,False,power (1/2),default,123,10918.0,False,,0.148
25,151,1e-05,1e-05,False,power (1/2),default,456,11357.0,False,,0.151
25,151,1e-05,1e-05,False,power (1/2),default,789,12765.0,False,,0.149
25,151,1e-05,1e-05,False,power (1/2),default,999,10710.0,False,,0.15
25,151,1e-05,0.0001,False,power (1/2),default,42,5279.0,False,,0.14
25,151,1e-05,0.0001,False,power (1/2),default,123,5703.0,False,,0.141
25,151,1e-05,0.0001,False,power (1/2),default,456,5793.0,False,,0.139
25,151,1e-05,0.0001,False,power (1/2),default,789,5841.0,False,,0.142
25,151,1e-05,0.0001,False,power (1/2),default,999,5210.0,False,,0.137
25,151,1e-05,0.001,False,power (1/2),default,42,3110.0,False,,0.13
25,151,1e-05,0.001,False,power (1/2),default,123,3225.0,False,,0.132
25,151,1e-05,0.001,False,power (1/2),default,456,3120.0,False,,0.13
25,151,1e-05,0.001,False,power (1/2),default,789,3252.0,False,,0.128
25,151,1e-05,0.001,False,power (1/2),default,999,3136.0,False,,0.129
25,151,1e-05,0.01,False,power (1/2),default,42,2086.0,False,,0.105
25,151,1e-05,0.01,False,power (1/2),default,123,2002.0,False,,0.099
25,151,1e-05,0.01,False,power (1/2),default,456,1992.0,False,,0.1
25,151,1e-05,0.01,False,power (1/2),default,789,2095.0,False,,0.103
25,151,1e-05,0.01,False,power (1/2),default,999,2136.0,False,,0.098
25,151,1e-05,0.1,False,power (1/2),default,42,1024.0,False,,0.065
25,151,1e-05,0.1,False,power (1/2),default,123,1025.0,False,,0.062
25,151,1e-05,0.1,False,power (1/2),default,456,1003.0,False,,0.06
25,151,1e-05,0.1,False,power (1/2),default,789,985.0,False,,0.065
25,151,1e-05,0.1,False,power (1/2),default,999,1003.0,False,,0.063
25,151,1e-05,1.0,False,power (1/2),default,42,1029.0,False,,0.054
25,151,1e-05,1.0,False,power (1/2),default,123,993.0,False,,0.052
25,151,1e-05,1.0,False,power (1/2),default,456,1020.0,False,,0.052
25,151,1e-05,1.0,False,power (1/2),default,789,1017.0,False,,0.053
25,151,1e-05,1.0,False,power (1/2),default,999,1028.0,False,,0.053
25,151,1e-05,10.0,False,power (1/2),default,42,1344.0,False,,0.02
25,151,1e-05,10.0,False,power (1/2),default,123,1319.0,False,,0.022
25,151,1e-05,10.0,False,power (1/2),default,456,1378.0,False,,0.025
25,151,1e-05,10.0,False,power (1/2),default,789,1342.0,False,,0.022
25,151,1e-05,10.0,False,power (1/2),default,999,1250.0,False,,0.02
25,151,0.0001,0.0001,False,power (1/2),default,42,5018.0,False,,0.139
25,151,0.0001,0.0001,False,power (1/2),default,123,5484.0,False,,0.131
25,151,0.0001,0.0001,False,power (1/2),default,456,5358.0,False,,0.137
25,151,0.0001,0.0001,False,power (1/2),default,789,5618.0,False,,0.134
25,151,0.0001,0.0001,False,power (1/2),default,999,5705.0,False,,0.135
25,151,0.0001,0.001,False,power (1/2),default,42,3350.0,False,,0.13
25,151,0.0001,0.001,False,power (1/2),default,123,3200.0,False,,0.121
25,151,0.0001,0.001,False,power (1/2),default,456,3002.0,False,,0.13
25,151,0.0001,0.001,False,power (1/2),default,789,3207.0,False,,0.127
25,151,0.0001,0.001,False,power (1/2),default,999,3165.0,False,,0.127
25,151,0.0001,0.01,False,power (1/2),default,42,2057.0,False,,0.098
25,151,0.0001,0.01,False,power (1/2),default,123,2213.0,False,,0.096
25,151,0.0001,0.01,False,power (1/2),default,456,2113.0,False,,0.105
25,151,0.0001,0.01,False,power (1/2),default,789,2052.0,False,,0.101
25,151,0.0001,0.01,False,power (1/2),default,999,2114.0,False,,0.1
25,151,0.0001,0.1,False,power (1/2),default,42,1010.0,False,,0.065
25,151,0.0001,0.1,False,power (1/2),default,123,1021.0,False,,0.063
25,151,0.0001,0.1,False,power (1/2),default,456,989.0,False,,0.061
25,151,0.0001,0.1,False,power (1/2),default,789,975.0,False,,0.068
25,151,0.0001,0.1,False,power (1/2),default,999,992.0,False,,0.065
25,151,0.0001,1.0,False,power (1/2),default,42,1030.0,False,,0.053
25,151,0.0001,1.0,False,power (1/2),default,123,1021.0,False,,0.051
25,151,0.0001,1.0,False,power (1/2),default,456,1026.0,False,,0.052
25,151,0.0001,1.0,False,power (1/2),default,789,1017.0,False,,0.054
25,151,0.0001,1.0,False,power (1/2),default,999,1028.0,False,,0.058
25,151,0.0001,10.0,False,power (1/2),default,42,1387.0,False,,0.023
25,151,0.0001,10.0,False,power (1/2),default,123,1318.0,False,,0.023
25,151,0.0001,10.0,False,power (1/2),default,456,1328.0,False,,0.023
25,151,0.0001,10.0,False,power (1/2),default,789,1321.0,False,,0.025
25,151,0.0001,10.0,False,power (1/2),default,999,1269.0,False,,0.023
25,151,0.001,0.001,False,power (1/2),default,42,3219.0,False,,0.136
25,151,0.001,0.001,False,power (1/2),default,123,3252.0,False,,0.137
