n,m,beta_min,beta_max,bqm_is_normalized,space_type,annealing_type,seed,energy,feasible,minla_cost,time_s
25,151,0.0001,1.0,False,geometric,fixed_Hp,999,1154.0,False,,6.071
25,151,0.0001,10.0,False,geometric,fixed_Hp,42,1034.0,False,,14.369
25,151,0.0001,10.0,False,geometric,fixed_Hp,123,992.0,False,,14.273
25,151,0.0001,10.0,False,geometric,fixed_Hp,456,1050.0,False,,14.108
25,151,0.0001,10.0,False,geometric,fixed_Hp,789,994.0,True,994.0,14.078
25,151,0.0001,10.0,False,geometric,fixed_Hp,999,1066.0,False,,14.223
25,151,0.001,0.001,False,geometric,fixed_Hp,42,16140.0,False,,5.664
25,151,0.001,0.001,False,geometric,fixed_Hp,123,18109.0,False,,5.667
25,151,0.001,0.001,False,geometric,fixed_Hp,456,18137.0,False,,5.699
25,151,0.001,0.001,False,geometric,fixed_Hp,789,18129.0,False,,5.693
25,151,0.001,0.001,False,geometric,fixed_Hp,999,17841.0,False,,5.712
25,151,0.001,0.01,False,geometric,fixed_Hp,42,5591.0,False,,5.522
25,151,0.001,0.01,False,geometric,fixed_Hp,123,5455.0,False,,5.53
25,151,0.001,0.01,False,geometric,fixed_Hp,456,5086.0,False,,5.48
25,151,0.001,0.01,False,geometric,fixed_Hp,789,5080.0,False,,5.98
25,151,0.001,0.01,False,geometric,fixed_Hp,999,5047.0,False,,5.726
25,151,0.001,0.1,False,geometric,fixed_Hp,42,2065.0,False,,5.536
25,151,0.001,0.1,False,geometric,fixed_Hp,123,2093.0,False,,6.868
25,151,0.001,0.1,False,geometric,fixed_Hp,456,2128.0,False,,14.01
25,151,0.001,0.1,False,geometric,fixed_Hp,789,2088.0,False,,13.936
25,151,0.001,0.1,False,geometric,fixed_Hp,999,2167.0,False,,13.955
25,151,0.001,1.0,False,geometric,fixed_Hp,42,1151.0,False,,14.238
25,151,0.001,1.0,False,geometric,fixed_Hp,123,1137.0,False,,14.361
25,151,0.001,1.0,False,geometric,fixed_Hp,456,1196.0,False,,14.447
25,151,0.001,1.0,False,geometric,fixed_Hp,789,1173.0,False,,14.362
25,151,0.001,1.0,False,geometric,fixed_Hp,999,1170.0,False,,13.983
25,151,0.001,10.0,False,geometric,fixed_Hp,42,1030.0,False,,26.313
25,151,0.001,10.0,False,geometric,fixed_Hp,123,1029.0,False,,26.519
25,151,0.001,10.0,False,geometric,fixed_Hp,456,1040.0,False,,26.573
25,151,0.001,10.0,False,geometric,fixed_Hp,789,1062.0,False,,25.921
25,151,0.001,10.0,False,geometric,fixed_Hp,999,1061.0,False,,26.461
25,151,0.01,0.01,False,geometric,fixed_Hp,42,5567.0,False,,13.825
25,151,0.01,0.01,False,geometric,fixed_Hp,123,5594.0,False,,13.914
25,151,0.01,0.01,False,geometric,fixed_Hp,456,5064.0,False,,13.763
25,151,0.01,0.01,False,geometric,fixed_Hp,789,5112.0,False,,13.888
25,151,0.01,0.01,False,geometric,fixed_Hp,999,5643.0,False,,13.623
25,151,0.01,0.1,False,geometric,fixed_Hp,42,2148.0,False,,13.958
25,151,0.01,0.1,False,geometric,fixed_Hp,123,1974.0,False,,13.946
25,151,0.01,0.1,False,geometric,fixed_Hp,456,2095.0,False,,14.148
25,151,0.01,0.1,False,geometric,fixed_Hp,789,2126.0,False,,14.036
25,151,0.01,0.1,False,geometric,fixed_Hp,999,1984.0,False,,13.705
25,151,0.01,1.0,False,geometric,fixed_Hp,42,1206.0,False,,14.122
25,151,0.01,1.0,False,geometric,fixed_Hp,123,1131.0,False,,14.251
25,151,0.01,1.0,False,geometric,fixed_Hp,456,1201.0,False,,14.311
25,151,0.01,1.0,False,geometric,fixed_Hp,789,1167.0,False,,14.38
25,151,0.01,1.0,False,geometric,fixed_Hp,999,1141.0,False,,14.334
25,151,0.01,10.0,False,geometric,fixed_Hp,42,1056.0,False,,25.617
25,151,0.01,10.0,False,geometric,fixed_Hp,123,1078.0,False,,26.134
25,151,0.01,10.0,False,geometric,fixed_Hp,456,1040.0,False,,26.011
