number,values_0,values_1,datetime_start,datetime_complete,duration,params_beta_range_idx,params_beta_schedule_type,params_gamma,user_attrs_beta_max,user_attrs_beta_min,user_attrs_graphs_feasible,user_attrs_time_s,state,solver
60,0.0,10.0,2026-07-24 00:17:28.652438,2026-07-24 00:17:39.889620,0 days 00:00:11.237182,2,geometric,0.1,1.0,0.01,0,11.235,COMPLETE,PA
61,0.0,10.0,2026-07-24 00:17:28.831426,2026-07-24 00:17:41.363865,0 days 00:00:12.532439,4,linear,0.1,1.0,0.1,0,12.529,COMPLETE,PA
62,0.0,10.0,2026-07-24 00:17:31.448094,2026-07-24 00:17:43.031843,0 days 00:00:11.583749,1,geometric,0.01,0.1,0.01,0,11.58,COMPLETE,PA
63,0.0,10.0,2026-07-24 00:17:32.693656,2026-07-24 00:17:43.966545,0 days 00:00:11.272889,0,linear,1000.0,0.01,0.01,0,11.271,COMPLETE,PA
64,0.0,10.0,2026-07-24 00:17:39.326643,2026-07-24 00:17:50.995539,0 days 00:00:11.668896,3,linear,0.001,0.1,0.1,0,11.666,COMPLETE,PA
65,0.0,10.0,2026-07-24 00:17:39.384597,2026-07-24 00:17:50.884007,0 days 00:00:11.499410,1,linear,10000.0,0.1,0.01,0,11.497,COMPLETE,PA
66,0.0,10.0,2026-07-24 00:17:39.889620,2026-07-24 00:17:52.374536,0 days 00:00:12.484916,4,geometric,100.0,1.0,0.1,0,12.481,COMPLETE,PA
67,0.0,10.0,2026-07-24 00:17:40.341241,2026-07-24 00:17:52.923193,0 days 00:00:12.581952,4,geometric,1.0,1.0,0.1,0,12.574,COMPLETE,PA
68,0.0,10.0,2026-07-24 00:17:41.363865,2026-07-24 00:17:54.653248,0 days 00:00:13.289383,4,linear,0.0001,1.0,0.1,0,13.287,COMPLETE,PA
69,0.0,10.0,2026-07-24 00:17:41.511013,2026-07-24 00:17:54.497046,0 days 00:00:12.986033,4,linear,100.0,1.0,0.1,0,12.984,COMPLETE,PA
70,0.0,10.0,2026-07-24 00:17:43.031843,2026-07-24 00:17:54.419166,0 days 00:00:11.387323,0,geometric,10.0,0.01,0.01,0,11.385,COMPLETE,PA
71,0.0,10.0,2026-07-24 00:17:43.966545,2026-07-24 00:17:56.082297,0 days 00:00:12.115752,2,geometric,0.0001,1.0,0.01,0,12.113,COMPLETE,PA
72,0.0,10.0,2026-07-24 00:17:50.884007,2026-07-24 00:18:04.139286,0 days 00:00:13.255279,4,linear,1000.0,1.0,0.1,0,13.254,COMPLETE,PA
73,0.0,10.0,2026-07-24 00:17:50.995539,2026-07-24 00:18:02.688810,0 days 00:00:11.693271,3,linear,1000.0,0.1,0.1,0,11.691,COMPLETE,PA
74,0.0,10.0,2026-07-24 00:17:52.374536,2026-07-24 00:18:03.763747,0 days 00:00:11.389211,0,geometric,1000.0,0.01,0.01,0,11.387,COMPLETE,PA
75,0.0,10.0,2026-07-24 00:17:52.923193,2026-07-24 00:18:05.883231,0 days 00:00:12.960038,2,linear,100.0,1.0,0.01,0,12.958,COMPLETE,PA
76,0.0,10.0,2026-07-24 00:17:54.419166,2026-07-24 00:18:09.448616,0 days 00:00:15.029450,5,linear,0.01,1.0,1.0,0,15.027,COMPLETE,PA
77,0.0,10.0,2026-07-24 00:17:54.497046,2026-07-24 00:18:05.694148,0 days 00:00:11.197102,0,geometric,0.001,0.01,0.01,0,11.195,COMPLETE,PA
78,0.0,10.0,2026-07-24 00:17:54.653248,2026-07-24 00:18:10.084137,0 days 00:00:15.430889,5,linear,1000.0,1.0,1.0,0,15.425,COMPLETE,PA
79,0.0,10.0,2026-07-24 00:17:56.082297,2026-07-24 00:18:09.071596,0 days 00:00:12.989299,2,linear,0.001,1.0,0.01,0,12.986,COMPLETE,PA
80,0.0,10.0,2026-07-24 00:18:02.689810,2026-07-24 00:18:15.758535,0 days 00:00:13.068725,4,linear,1.0,1.0,0.1,0,13.064,COMPLETE,PA
81,0.0,10.0,2026-07-24 00:18:03.763747,2026-07-24 00:18:15.378338,0 days 00:00:11.614591,3,linear,0.1,0.1,0.1,0,11.612,COMPLETE,PA
82,0.0,10.0,2026-07-24 00:18:04.139286,2026-07-24 00:18:15.630130,0 days 00:00:11.490844,3,linear,10.0,0.1,0.1,0,11.486,COMPLETE,PA
83,0.0,10.0,2026-07-24 00:18:05.694148,2026-07-24 00:18:20.427946,0 days 00:00:14.733798,5,linear,0.001,1.0,1.0,0,14.731,COMPLETE,PA
84,0.0,10.0,2026-07-24 00:18:05.883231,2026-07-24 00:18:17.393891,0 days 00:00:11.510660,1,linear,1.0,0.1,0.01,0,11.506,COMPLETE,PA
85,0.0,10.0,2026-07-24 00:18:09.078109,2026-07-24 00:18:23.976987,0 days 00:00:14.898878,5,linear,10000.0,1.0,1.0,0,14.895,COMPLETE,PA
86,0.0,10.0,2026-07-24 00:18:09.448616,2026-07-24 00:18:20.857981,0 days 00:00:11.409365,0,geometric,0.1,0.01,0.01,0,11.406,COMPLETE,PA
87,0.0,10.0,2026-07-24 00:18:10.084137,2026-07-24 00:18:25.122531,0 days 00:00:15.038394,5,linear,0.0001,1.0,1.0,0,15.036,COMPLETE,PA
88,0.0,10.0,2026-07-24 00:18:15.378338,2026-07-24 00:18:26.504907,0 days 00:00:11.126569,0,geometric,10000.0,0.01,0.01,0,11.125,COMPLETE,PA
89,0.0,10.0,2026-07-24 00:18:15.630130,2026-07-24 00:18:30.357051,0 days 00:00:14.726921,5,linear,10.0,1.0,1.0,0,14.717,COMPLETE,PA
90,0.0,10.0,2026-07-24 00:18:15.758535,2026-07-24 00:18:28.072569,0 days 00:00:12.314034,4,geometric,0.01,1.0,0.1,0,12.31,COMPLETE,PA
91,0.0,10.0,2026-07-24 00:18:17.395394,2026-07-24 00:18:30.339034,0 days 00:00:12.943640,4,linear,0.01,1.0,0.1,0,12.94,COMPLETE,PA
92,0.0,10.0,2026-07-24 00:18:20.428948,2026-07-24 00:18:35.103946,0 days 00:00:14.674998,5,linear,100.0,1.0,1.0,0,14.672,COMPLETE,PA
93,0.0,10.0,2026-07-24 00:18:20.857981,2026-07-24 00:18:32.325189,0 days 00:00:11.467208,3,linear,10000.0,0.1,0.1,0,11.466,COMPLETE,PA
94,0.0,10.0,2026-07-24 00:18:23.976987,2026-07-24 00:18:35.277001,0 days 00:00:11.300014,1,linear,0.01,0.1,0.01,0,11.298,COMPLETE,PA
95,0.0,10.0,2026-07-24 00:18:25.128311,2026-07-24 00:18:37.303145,0 days 00:00:12.174834,4,geometric,1000.0,1.0,0.1,0,12.169,COMPLETE,PA
96,0.0,10.0,2026-07-24 00:18:26.504907,2026-07-24 00:18:37.374770,0 days 00:00:10.869863,0,geometric,1.0,0.01,0.01,0,10.865,COMPLETE,PA
97,0.0,10.0,2026-07-24 00:18:28.072569,2026-07-24 00:18:40.138596,0 days 00:00:12.066027,4,geometric,10.0,1.0,0.1,0,12.064,COMPLETE,PA
98,0.0,10.0,2026-07-24 00:18:30.348053,2026-07-24 00:18:41.868097,0 days 00:00:11.520044,3,linear,1.0,0.1,0.1,0,11.51,COMPLETE,PA
99,0.0,10.0,2026-07-24 00:18:30.361566,2026-07-24 00:18:43.041330,0 days 00:00:12.679764,2,linear,1.0,1.0,0.01,0,12.676,COMPLETE,PA
100,0.0,10.0,2026-07-24 00:18:32.326693,2026-07-24 00:18:44.007016,0 days 00:00:11.680323,2,geometric,10.0,1.0,0.01,0,11.678,COMPLETE,PA
101,0.0,10.0,2026-07-24 00:18:35.103946,2026-07-24 00:18:46.406057,0 days 00:00:11.302111,0,geometric,0.0001,0.01,0.01,0,11.299,COMPLETE,PA
102,0.0,10.0,2026-07-24 00:18:35.277001,2026-07-24 00:18:46.675114,0 days 00:00:11.398113,3,geometric,100.0,0.1,0.1,0,11.395,COMPLETE,PA
103,0.0,10.0,2026-07-24 00:18:37.303702,2026-07-24 00:18:49.117683,0 days 00:00:11.813981,4,geometric,0.0001,1.0,0.1,0,11.811,COMPLETE,PA
104,0.0,10.0,2026-07-24 00:18:37.374770,2026-07-24 00:18:51.383174,0 days 00:00:14.008404,5,linear,1.0,1.0,1.0,0,14.004,COMPLETE,PA
105,0.0,10.0,2026-07-24 00:18:40.138596,2026-07-24 00:18:50.433454,0 days 00:00:10.294858,0,geometric,0.01,0.01,0.01,0,10.291,COMPLETE,PA
106,0.0,10.0,2026-07-24 00:18:41.868097,2026-07-24 00:18:51.751533,0 days 00:00:09.883436,0,geometric,100.0,0.01,0.01,0,9.881,COMPLETE,PA
107,0.0,10.0,2026-07-24 00:18:43.047342,2026-07-24 00:18:53.316690,0 days 00:00:10.269348,4,geometric,0.1,1.0,0.1,0,10.265,COMPLETE,PA
