n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
20,84,36,387.0,True,387.0,381,1.015748031496063,0.015748031496062992,2.62,42,PathIntegralAnnealingSampler
20,88,37,444.0,True,444.0,441,1.0068027210884354,0.006802721088435374,2.599,42,PathIntegralAnnealingSampler
20,91,38,464.0,True,464.0,444,1.045045045045045,0.04504504504504504,2.615,456,PathIntegralAnnealingSampler
20,91,39,479.0,True,479.0,476,1.0063025210084033,0.0063025210084033615,2.619,456,PathIntegralAnnealingSampler
20,83,40,415.0,True,415.0,405,1.0246913580246915,0.024691358024691357,2.625,789,PathIntegralAnnealingSampler
20,92,41,479.0,False,,459,,,2.61,123,PathIntegralAnnealingSampler
20,97,42,506.0,True,506.0,492,1.0284552845528456,0.028455284552845527,2.618,789,PathIntegralAnnealingSampler
20,88,43,444.0,True,444.0,452,0.9823008849557522,-0.017699115044247787,2.681,123,PathIntegralAnnealingSampler
20,105,44,553.0,True,553.0,542,1.0202952029520296,0.02029520295202952,2.631,999,PathIntegralAnnealingSampler
20,90,45,425.0,True,425.0,421,1.009501187648456,0.009501187648456057,2.633,456,PathIntegralAnnealingSampler
20,89,46,459.0,True,459.0,445,1.0314606741573034,0.03146067415730337,2.646,789,PathIntegralAnnealingSampler
20,101,47,518.0,True,518.0,513,1.0097465886939572,0.009746588693957114,2.66,42,PathIntegralAnnealingSampler
20,86,48,414.0,False,,413,,,2.646,456,PathIntegralAnnealingSampler
20,98,49,514.0,True,514.0,499,1.0300601202404809,0.03006012024048096,2.65,999,PathIntegralAnnealingSampler
20,93,50,485.0,True,485.0,474,1.0232067510548524,0.023206751054852322,2.636,999,PathIntegralAnnealingSampler
20,85,51,408.0,True,408.0,399,1.0225563909774436,0.022556390977443608,2.699,123,PathIntegralAnnealingSampler
20,91,52,457.0,True,457.0,452,1.011061946902655,0.011061946902654867,2.641,456,PathIntegralAnnealingSampler
20,103,53,549.0,True,549.0,542,1.0129151291512914,0.012915129151291513,2.693,999,PathIntegralAnnealingSampler
20,90,54,451.0,True,451.0,445,1.0134831460674156,0.01348314606741573,2.668,456,PathIntegralAnnealingSampler
20,89,55,443.0,True,443.0,438,1.0114155251141552,0.01141552511415525,2.653,456,PathIntegralAnnealingSampler
20,99,56,518.0,True,518.0,502,1.0318725099601593,0.03187250996015936,2.628,42,PathIntegralAnnealingSampler
20,95,57,488.0,True,488.0,474,1.029535864978903,0.029535864978902954,2.667,42,PathIntegralAnnealingSampler
20,102,58,535.0,False,,530,,,2.613,123,PathIntegralAnnealingSampler
20,93,59,449.0,True,449.0,443,1.0135440180586908,0.013544018058690745,2.646,789,PathIntegralAnnealingSampler
20,94,60,466.0,True,466.0,462,1.0086580086580086,0.008658008658008658,2.627,123,PathIntegralAnnealingSampler
20,86,61,426.0,True,426.0,412,1.0339805825242718,0.03398058252427184,2.591,789,PathIntegralAnnealingSampler
20,90,62,454.0,True,454.0,449,1.0111358574610245,0.011135857461024499,2.607,999,PathIntegralAnnealingSampler
20,88,63,442.0,True,442.0,432,1.0231481481481481,0.023148148148148147,2.648,456,PathIntegralAnnealingSampler
20,98,64,529.0,True,529.0,520,1.0173076923076922,0.01730769230769231,2.642,456,PathIntegralAnnealingSampler
20,92,65,434.0,True,434.0,430,1.0093023255813953,0.009302325581395349,2.63,999,PathIntegralAnnealingSampler
20,99,66,536.0,True,536.0,522,1.0268199233716475,0.02681992337164751,2.603,456,PathIntegralAnnealingSampler
20,97,67,496.0,True,496.0,487,1.0184804928131417,0.018480492813141684,2.611,789,PathIntegralAnnealingSampler
20,102,68,532.0,True,532.0,524,1.015267175572519,0.015267175572519083,2.609,789,PathIntegralAnnealingSampler
20,93,69,499.0,True,499.0,487,1.0246406570841888,0.024640657084188913,2.613,999,PathIntegralAnnealingSampler
20,92,70,489.0,True,489.0,470,1.0404255319148936,0.04042553191489362,2.654,999,PathIntegralAnnealingSampler
20,100,71,533.0,False,,519,,,2.629,999,PathIntegralAnnealingSampler
20,101,72,557.0,True,557.0,549,1.0145719489981786,0.014571948998178506,2.601,456,PathIntegralAnnealingSampler
20,92,73,481.0,True,481.0,471,1.0212314225053079,0.021231422505307854,2.608,456,PathIntegralAnnealingSampler
20,78,74,369.0,True,369.0,371,0.9946091644204852,-0.005390835579514825,2.605,999,PathIntegralAnnealingSampler
20,94,75,467.0,True,467.0,474,0.9852320675105485,-0.014767932489451477,2.629,123,PathIntegralAnnealingSampler
