n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,solver
15,55,99,217.0,True,217.0,216,1.0046296296296295,0.004629629629629629,3.384,PathIntegralAnnealingSampler
20,96,0,490.0,False,,463,,,7.651,PathIntegralAnnealingSampler
20,113,1,643.0,False,,619,,,7.758,PathIntegralAnnealingSampler
20,84,2,407.0,True,407.0,404,1.0074257425742574,0.007425742574257425,7.813,PathIntegralAnnealingSampler
20,99,3,526.0,False,,503,,,7.678,PathIntegralAnnealingSampler
20,75,4,352.0,True,352.0,342,1.0292397660818713,0.029239766081871343,7.72,PathIntegralAnnealingSampler
20,95,5,511.0,True,511.0,509,1.0039292730844793,0.003929273084479371,7.86,PathIntegralAnnealingSampler
20,92,6,483.0,False,,470,,,7.685,PathIntegralAnnealingSampler
20,94,7,505.0,True,505.0,485,1.041237113402062,0.041237113402061855,7.678,PathIntegralAnnealingSampler
20,95,8,462.0,True,462.0,452,1.0221238938053097,0.022123893805309734,7.75,PathIntegralAnnealingSampler
20,96,9,495.0,True,495.0,489,1.0122699386503067,0.012269938650306749,7.807,PathIntegralAnnealingSampler
20,98,10,510.0,True,510.0,488,1.0450819672131149,0.045081967213114756,7.661,PathIntegralAnnealingSampler
20,96,11,519.0,True,519.0,496,1.0463709677419355,0.046370967741935484,7.656,PathIntegralAnnealingSampler
20,89,12,440.0,False,,425,,,7.755,PathIntegralAnnealingSampler
20,93,13,485.0,True,485.0,475,1.0210526315789474,0.021052631578947368,8.029,PathIntegralAnnealingSampler
20,101,14,534.0,True,534.0,513,1.04093567251462,0.04093567251461988,7.837,PathIntegralAnnealingSampler
20,91,15,454.0,True,454.0,439,1.0341685649202734,0.03416856492027335,7.836,PathIntegralAnnealingSampler
20,85,16,429.0,False,,411,,,7.837,PathIntegralAnnealingSampler
20,99,17,548.0,True,548.0,529,1.0359168241965973,0.035916824196597356,7.642,PathIntegralAnnealingSampler
20,99,18,515.0,False,,488,,,7.73,PathIntegralAnnealingSampler
20,93,19,499.0,False,,478,,,7.661,PathIntegralAnnealingSampler
20,104,20,537.0,False,,524,,,7.713,PathIntegralAnnealingSampler
20,100,21,542.0,False,,532,,,7.713,PathIntegralAnnealingSampler
20,87,22,417.0,True,417.0,398,1.0477386934673367,0.04773869346733668,7.834,PathIntegralAnnealingSampler
20,97,23,496.0,False,,495,,,7.682,PathIntegralAnnealingSampler
20,95,24,489.0,True,489.0,468,1.044871794871795,0.04487179487179487,7.787,PathIntegralAnnealingSampler
20,99,25,543.0,False,,516,,,7.704,PathIntegralAnnealingSampler
20,103,26,543.0,True,543.0,527,1.0303605313092978,0.030360531309297913,7.644,PathIntegralAnnealingSampler
20,102,27,563.0,True,563.0,546,1.031135531135531,0.031135531135531136,7.687,PathIntegralAnnealingSampler
20,92,28,471.0,True,471.0,447,1.0536912751677852,0.053691275167785234,7.686,PathIntegralAnnealingSampler
20,84,29,433.0,True,433.0,423,1.0236406619385343,0.02364066193853428,7.617,PathIntegralAnnealingSampler
20,80,30,388.0,True,388.0,380,1.0210526315789474,0.021052631578947368,7.658,PathIntegralAnnealingSampler
20,91,31,501.0,False,,489,,,7.501,PathIntegralAnnealingSampler
20,96,32,518.0,False,,496,,,6.351,PathIntegralAnnealingSampler
20,94,33,482.0,True,482.0,473,1.0190274841437632,0.019027484143763214,3.892,PathIntegralAnnealingSampler
20,96,34,532.0,False,,509,,,3.789,PathIntegralAnnealingSampler
20,89,35,472.0,True,472.0,442,1.0678733031674208,0.06787330316742081,3.917,PathIntegralAnnealingSampler
20,84,36,395.0,True,395.0,381,1.036745406824147,0.03674540682414698,3.847,PathIntegralAnnealingSampler
20,88,37,481.0,False,,441,,,3.944,PathIntegralAnnealingSampler
20,91,38,467.0,True,467.0,444,1.0518018018018018,0.0518018018018018,3.993,PathIntegralAnnealingSampler
20,91,39,490.0,True,490.0,476,1.0294117647058822,0.029411764705882353,5.504,PathIntegralAnnealingSampler
