n,m,graph_id,energy,feasible,minla_cost,optimal_cost,approx_ratio,relative_gap,time_s,best_seed,solver
15,57,26,227.0,True,227.0,220,1.0318181818181817,0.031818181818181815,1.05,789,PathIntegralAnnealingSampler
15,57,27,224.0,True,224.0,223,1.0044843049327354,0.004484304932735426,1.051,42,PathIntegralAnnealingSampler
15,48,28,173.0,True,173.0,173,1.0,0.0,1.048,42,PathIntegralAnnealingSampler
15,52,29,192.0,True,192.0,191,1.0052356020942408,0.005235602094240838,1.054,789,PathIntegralAnnealingSampler
15,60,30,239.0,True,239.0,237,1.0084388185654007,0.008438818565400843,1.039,42,PathIntegralAnnealingSampler
15,56,31,225.0,True,225.0,219,1.0273972602739727,0.0273972602739726,1.042,42,PathIntegralAnnealingSampler
15,54,32,198.0,True,198.0,196,1.010204081632653,0.01020408163265306,1.04,789,PathIntegralAnnealingSampler
15,53,33,200.0,True,200.0,195,1.0256410256410255,0.02564102564102564,1.069,456,PathIntegralAnnealingSampler
15,52,34,191.0,True,191.0,186,1.0268817204301075,0.026881720430107527,1.059,42,PathIntegralAnnealingSampler
15,53,35,205.0,True,205.0,204,1.0049019607843137,0.004901960784313725,1.021,42,PathIntegralAnnealingSampler
15,39,36,132.0,True,132.0,131,1.0076335877862594,0.007633587786259542,1.056,456,PathIntegralAnnealingSampler
15,56,37,205.0,True,205.0,201,1.0199004975124377,0.01990049751243781,1.022,42,PathIntegralAnnealingSampler
15,47,38,165.0,True,165.0,163,1.0122699386503067,0.012269938650306749,1.052,999,PathIntegralAnnealingSampler
15,54,39,206.0,True,206.0,202,1.0198019801980198,0.019801980198019802,1.027,789,PathIntegralAnnealingSampler
15,54,40,200.0,True,200.0,193,1.0362694300518134,0.03626943005181347,1.039,789,PathIntegralAnnealingSampler
15,45,41,146.0,True,146.0,145,1.006896551724138,0.006896551724137931,1.058,999,PathIntegralAnnealingSampler
15,44,42,160.0,True,160.0,157,1.019108280254777,0.01910828025477707,1.05,999,PathIntegralAnnealingSampler
15,55,43,213.0,True,213.0,211,1.009478672985782,0.009478672985781991,1.028,456,PathIntegralAnnealingSampler
15,55,44,212.0,True,212.0,212,1.0,0.0,1.034,42,PathIntegralAnnealingSampler
15,55,45,213.0,True,213.0,212,1.0047169811320755,0.0047169811320754715,1.046,789,PathIntegralAnnealingSampler
15,41,46,136.0,True,136.0,135,1.0074074074074073,0.007407407407407408,1.036,456,PathIntegralAnnealingSampler
15,64,47,258.0,True,258.0,252,1.0238095238095237,0.023809523809523808,1.013,999,PathIntegralAnnealingSampler
15,55,48,218.0,True,218.0,214,1.0186915887850467,0.018691588785046728,1.01,999,PathIntegralAnnealingSampler
15,53,49,201.0,True,201.0,196,1.0255102040816326,0.025510204081632654,1.021,456,PathIntegralAnnealingSampler
15,52,50,198.0,True,198.0,197,1.0050761421319796,0.005076142131979695,1.03,456,PathIntegralAnnealingSampler
15,58,51,224.0,True,224.0,224,1.0,0.0,1.018,999,PathIntegralAnnealingSampler
15,59,52,240.0,True,240.0,238,1.0084033613445378,0.008403361344537815,1.029,123,PathIntegralAnnealingSampler
15,48,53,162.0,True,162.0,162,1.0,0.0,1.01,789,PathIntegralAnnealingSampler
15,63,54,258.0,True,258.0,252,1.0238095238095237,0.023809523809523808,1.011,999,PathIntegralAnnealingSampler
15,57,55,229.0,True,229.0,226,1.0132743362831858,0.01327433628318584,1.044,456,PathIntegralAnnealingSampler
15,49,56,173.0,True,173.0,172,1.005813953488372,0.005813953488372093,1.055,999,PathIntegralAnnealingSampler
15,43,57,157.0,True,157.0,152,1.0328947368421053,0.03289473684210526,1.03,789,PathIntegralAnnealingSampler
15,51,58,191.0,True,191.0,191,1.0,0.0,1.034,42,PathIntegralAnnealingSampler
15,60,59,229.0,True,229.0,227,1.0088105726872247,0.00881057268722467,1.04,999,PathIntegralAnnealingSampler
15,54,60,200.0,False,,203,,,1.056,42,PathIntegralAnnealingSampler
15,62,61,247.0,True,247.0,244,1.0122950819672132,0.012295081967213115,1.044,123,PathIntegralAnnealingSampler
15,53,62,193.0,True,193.0,191,1.0104712041884816,0.010471204188481676,1.046,123,PathIntegralAnnealingSampler
15,51,63,186.0,True,186.0,185,1.0054054054054054,0.005405405405405406,1.037,123,PathIntegralAnnealingSampler
15,44,64,151.0,True,151.0,150,1.0066666666666666,0.006666666666666667,1.039,42,PathIntegralAnnealingSampler
15,55,65,191.0,True,191.0,191,1.0,0.0,1.037,42,PathIntegralAnnealingSampler
15,50,66,188.0,True,188.0,187,1.0053475935828877,0.0053475935828877,1.026,456,PathIntegralAnnealingSampler
15,50,67,183.0,True,183.0,178,1.0280898876404494,0.028089887640449437,1.005,42,PathIntegralAnnealingSampler
15,56,68,221.0,True,221.0,219,1.0091324200913243,0.0091324200913242,1.025,456,PathIntegralAnnealingSampler
15,49,69,179.0,True,179.0,177,1.0112994350282485,0.011299435028248588,1.038,42,PathIntegralAnnealingSampler
15,50,70,193.0,True,193.0,189,1.0211640211640212,0.021164021164021163,1.049,789,PathIntegralAnnealingSampler
15,57,71,229.0,True,229.0,226,1.0132743362831858,0.01327433628318584,1.047,42,PathIntegralAnnealingSampler
15,53,72,208.0,True,208.0,206,1.0097087378640777,0.009708737864077669,1.032,789,PathIntegralAnnealingSampler
15,57,73,230.0,True,230.0,224,1.0267857142857142,0.026785714285714284,1.011,789,PathIntegralAnnealingSampler
15,51,74,177.0,True,177.0,175,1.0114285714285713,0.011428571428571429,1.006,789,PathIntegralAnnealingSampler
15,52,75,202.0,True,202.0,197,1.0253807106598984,0.025380710659898477,1.029,789,PathIntegralAnnealingSampler
15,53,76,194.0,True,194.0,189,1.0264550264550265,0.026455026455026454,1.048,42,PathIntegralAnnealingSampler
15,52,77,191.0,True,191.0,191,1.0,0.0,1.02,42,PathIntegralAnnealingSampler
15,52,78,189.0,True,189.0,186,1.0161290322580645,0.016129032258064516,1.036,123,PathIntegralAnnealingSampler
15,50,79,181.0,True,181.0,179,1.011173184357542,0.0111731843575419,1.032,456,PathIntegralAnnealingSampler
15,57,80,228.0,True,228.0,226,1.008849557522124,0.008849557522123894,1.044,456,PathIntegralAnnealingSampler
15,59,81,243.0,True,243.0,238,1.0210084033613445,0.02100840336134454,1.044,123,PathIntegralAnnealingSampler
15,44,82,156.0,True,156.0,153,1.0196078431372548,0.0196078431372549,1.053,42,PathIntegralAnnealingSampler
15,55,83,219.0,False,,212,,,1.014,42,PathIntegralAnnealingSampler
15,54,84,201.0,True,201.0,199,1.0100502512562815,0.010050251256281407,1.049,456,PathIntegralAnnealingSampler
15,52,85,189.0,True,189.0,188,1.0053191489361701,0.005319148936170213,1.041,123,PathIntegralAnnealingSampler
15,61,86,246.0,True,246.0,243,1.0123456790123457,0.012345679012345678,1.076,456,PathIntegralAnnealingSampler
15,57,87,200.0,True,200.0,199,1.0050251256281406,0.005025125628140704,1.063,456,PathIntegralAnnealingSampler
15,55,88,222.0,True,222.0,222,1.0,0.0,1.049,456,PathIntegralAnnealingSampler
15,43,89,149.0,True,149.0,147,1.0136054421768708,0.013605442176870748,1.067,456,PathIntegralAnnealingSampler
15,50,90,188.0,True,188.0,182,1.032967032967033,0.03296703296703297,1.045,42,PathIntegralAnnealingSampler
15,51,91,195.0,True,195.0,197,0.9898477157360406,-0.01015228426395939,1.041,789,PathIntegralAnnealingSampler
15,50,92,192.0,True,192.0,191,1.0052356020942408,0.005235602094240838,1.039,456,PathIntegralAnnealingSampler
15,55,93,210.0,True,210.0,208,1.0096153846153846,0.009615384615384616,1.046,42,PathIntegralAnnealingSampler
15,58,94,234.0,True,234.0,235,0.9957446808510638,-0.00425531914893617,1.034,999,PathIntegralAnnealingSampler
15,61,95,244.0,True,244.0,245,0.9959183673469387,-0.004081632653061225,1.028,789,PathIntegralAnnealingSampler
15,50,96,178.0,True,178.0,176,1.0113636363636365,0.011363636363636364,1.032,456,PathIntegralAnnealingSampler
15,59,97,228.0,True,228.0,227,1.0044052863436124,0.004405286343612335,1.033,42,PathIntegralAnnealingSampler
15,63,98,245.0,True,245.0,242,1.012396694214876,0.012396694214876033,1.045,123,PathIntegralAnnealingSampler
15,55,99,220.0,True,220.0,216,1.0185185185185186,0.018518518518518517,1.072,42,PathIntegralAnnealingSampler
20,96,0,477.0,True,477.0,463,1.0302375809935205,0.03023758099352052,2.222,456,PathIntegralAnnealingSampler
20,113,1,630.0,True,630.0,619,1.0177705977382876,0.017770597738287562,2.239,42,PathIntegralAnnealingSampler
20,84,2,409.0,True,409.0,404,1.0123762376237624,0.012376237623762377,2.215,999,PathIntegralAnnealingSampler
20,99,3,516.0,True,516.0,503,1.025844930417495,0.02584493041749503,2.305,456,PathIntegralAnnealingSampler
20,75,4,351.0,True,351.0,342,1.0263157894736843,0.02631578947368421,2.335,123,PathIntegralAnnealingSampler
20,95,5,510.0,True,510.0,509,1.0019646365422397,0.0019646365422396855,2.269,123,PathIntegralAnnealingSampler
20,92,6,472.0,True,472.0,470,1.004255319148936,0.00425531914893617,2.299,123,PathIntegralAnnealingSampler
20,94,7,495.0,True,495.0,485,1.0206185567010309,0.020618556701030927,2.283,999,PathIntegralAnnealingSampler
20,95,8,456.0,True,456.0,452,1.008849557522124,0.008849557522123894,2.28,999,PathIntegralAnnealingSampler
20,96,9,502.0,False,,489,,,2.287,456,PathIntegralAnnealingSampler
20,98,10,498.0,True,498.0,488,1.0204918032786885,0.020491803278688523,2.301,123,PathIntegralAnnealingSampler
20,96,11,507.0,True,507.0,496,1.0221774193548387,0.02217741935483871,2.32,42,PathIntegralAnnealingSampler
20,89,12,431.0,True,431.0,425,1.0141176470588236,0.01411764705882353,2.319,123,PathIntegralAnnealingSampler
20,93,13,474.0,True,474.0,475,0.9978947368421053,-0.002105263157894737,2.289,42,PathIntegralAnnealingSampler
20,101,14,526.0,True,526.0,513,1.0253411306042886,0.025341130604288498,2.309,456,PathIntegralAnnealingSampler
20,91,15,453.0,True,453.0,439,1.031890660592255,0.03189066059225513,2.282,123,PathIntegralAnnealingSampler
20,85,16,424.0,False,,411,,,2.273,42,PathIntegralAnnealingSampler
20,99,17,543.0,True,543.0,529,1.0264650283553876,0.026465028355387523,2.284,789,PathIntegralAnnealingSampler
20,99,18,502.0,True,502.0,488,1.028688524590164,0.028688524590163935,2.302,123,PathIntegralAnnealingSampler
20,93,19,495.0,True,495.0,478,1.0355648535564854,0.03556485355648536,2.469,42,PathIntegralAnnealingSampler
20,104,20,533.0,True,533.0,524,1.0171755725190839,0.01717557251908397,2.434,42,PathIntegralAnnealingSampler
20,100,21,541.0,True,541.0,532,1.0169172932330828,0.016917293233082706,2.475,42,PathIntegralAnnealingSampler
20,87,22,404.0,True,404.0,398,1.015075376884422,0.01507537688442211,2.493,123,PathIntegralAnnealingSampler
20,97,23,496.0,False,,495,,,2.522,999,PathIntegralAnnealingSampler
20,95,24,480.0,True,480.0,468,1.0256410256410255,0.02564102564102564,2.475,42,PathIntegralAnnealingSampler
20,99,25,524.0,True,524.0,516,1.0155038759689923,0.015503875968992248,2.495,789,PathIntegralAnnealingSampler
20,103,26,531.0,True,531.0,527,1.0075901328273245,0.007590132827324478,2.443,123,PathIntegralAnnealingSampler
20,102,27,554.0,True,554.0,546,1.0146520146520146,0.014652014652014652,2.5,123,PathIntegralAnnealingSampler
20,92,28,469.0,True,469.0,447,1.0492170022371365,0.049217002237136466,2.527,123,PathIntegralAnnealingSampler
20,84,29,431.0,True,431.0,423,1.0189125295508275,0.018912529550827423,2.473,42,PathIntegralAnnealingSampler
20,80,30,386.0,True,386.0,380,1.0157894736842106,0.015789473684210527,2.501,456,PathIntegralAnnealingSampler
20,91,31,491.0,True,491.0,489,1.0040899795501022,0.00408997955010225,2.497,42,PathIntegralAnnealingSampler
20,96,32,510.0,True,510.0,496,1.028225806451613,0.028225806451612902,2.511,123,PathIntegralAnnealingSampler
20,94,33,476.0,True,476.0,473,1.0063424947145878,0.006342494714587738,2.525,42,PathIntegralAnnealingSampler
20,96,34,507.0,True,507.0,509,0.9960707269155207,-0.003929273084479371,2.482,999,PathIntegralAnnealingSampler
20,89,35,457.0,True,457.0,442,1.0339366515837105,0.033936651583710405,2.503,42,PathIntegralAnnealingSampler
20,84,36,395.0,True,395.0,381,1.036745406824147,0.03674540682414698,2.475,42,PathIntegralAnnealingSampler
20,88,37,449.0,True,449.0,441,1.018140589569161,0.018140589569160998,2.609,42,PathIntegralAnnealingSampler
20,91,38,455.0,True,455.0,444,1.0247747747747749,0.024774774774774775,2.533,42,PathIntegralAnnealingSampler
20,91,39,479.0,True,479.0,476,1.0063025210084033,0.0063025210084033615,2.537,42,PathIntegralAnnealingSampler
20,83,40,415.0,True,415.0,405,1.0246913580246915,0.024691358024691357,2.539,42,PathIntegralAnnealingSampler
20,92,41,473.0,True,473.0,459,1.0305010893246187,0.030501089324618737,2.515,42,PathIntegralAnnealingSampler
20,97,42,499.0,True,499.0,492,1.0142276422764227,0.014227642276422764,2.52,42,PathIntegralAnnealingSampler
