n,m,beta_min,beta_max,energy,feasible,minla_cost,optimal_cost,relative_gap,time_s
10,26,1.0,50.0,0.6174496644296905,False,,67,,0.289
10,26,1.0,100.0,0.4765100671142495,True,71.0,67,0.05970149253731343,0.29
10,26,1.0,500.0,0.4765100671142459,True,71.0,67,0.05970149253731343,0.29
10,26,1.0,1000.0,0.4496644295303538,True,67.0,67,0.0,0.291
10,26,1.0,5000.0,0.46979865771825846,True,70.0,67,0.04477611940298507,0.289
10,26,1.0,10000.0,0.46979865771827445,True,70.0,67,0.04477611940298507,0.287
10,26,1.0,50000.0,0.44966442953035024,True,67.0,67,0.0,0.292
10,26,1.0,100000.0,0.503355704698131,True,75.0,67,0.11940298507462686,0.288
10,26,1.0,500000.0,0.5234899328860498,True,78.0,67,0.16417910447761194,0.288
10,26,1.0,1000000.0,0.5033557046981452,True,75.0,67,0.11940298507462686,0.328
10,26,5.0,5.0,2.087248322147767,False,,67,,0.307
10,26,5.0,10.0,1.3020134228189315,False,,67,,0.332
10,26,5.0,50.0,0.6577181208055318,False,,67,,0.305
10,26,5.0,100.0,0.44966442953035735,True,67.0,67,0.0,0.304
10,26,5.0,500.0,0.4630872483223003,True,69.0,67,0.029850746268656716,0.308
10,26,5.0,1000.0,0.46979865771826823,True,70.0,67,0.04477611940298507,0.306
10,26,5.0,5000.0,0.46308724832228965,True,69.0,67,0.029850746268656716,0.294
10,26,5.0,10000.0,0.4899328859062013,True,73.0,67,0.08955223880597014,0.306
10,26,5.0,50000.0,0.44966442953035024,True,67.0,67,0.0,0.309
10,26,5.0,100000.0,0.44966442953035735,True,67.0,67,0.0,0.296
10,26,5.0,500000.0,0.44966442953036445,True,67.0,67,0.0,0.293
10,26,5.0,1000000.0,0.5033557046981478,True,75.0,67,0.11940298507462686,0.292
10,26,10.0,10.0,1.449664429530321,False,,67,,0.294
10,26,10.0,50.0,0.5973154362417521,False,,67,,0.296
10,26,10.0,100.0,0.4563758389263217,True,68.0,67,0.014925373134328358,0.29
10,26,10.0,500.0,0.45637583892632794,True,68.0,67,0.014925373134328358,0.295
10,26,10.0,1000.0,0.4563758389263386,True,68.0,67,0.014925373134328358,0.315
10,26,10.0,5000.0,0.45637583892632794,True,68.0,67,0.014925373134328358,0.293
