n,m,graph_id,solver,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps
15,56,44,PathIntegralAnnealingSampler,True,5,224.4,150.0,1.496,4.078,5,10,500
15,48,45,PathIntegralAnnealingSampler,True,5,190.2,116.86219157325144,1.627558044560366,3.671,5,10,500
15,54,46,PathIntegralAnnealingSampler,True,5,218.4,140.0,1.56,3.722,5,10,500
15,48,47,PathIntegralAnnealingSampler,True,5,179.6,116.66655008145095,1.5394301097839265,3.636,5,10,500
15,56,48,PathIntegralAnnealingSampler,True,5,212.0,150.0,1.4133333333333333,3.576,5,10,500
15,47,49,PathIntegralAnnealingSampler,True,5,169.4,108.00000000000006,1.5685185185185178,3.633,5,10,500
15,53,50,PathIntegralAnnealingSampler,True,5,200.4,135.0,1.4844444444444445,3.627,5,10,500
15,52,51,PathIntegralAnnealingSampler,True,5,193.6,130.0,1.4892307692307691,3.471,5,10,500
15,51,52,PathIntegralAnnealingSampler,True,5,203.2,130.30859168035425,1.5593753058006157,3.448,5,10,500
15,51,53,PathIntegralAnnealingSampler,True,5,198.0,125.0,1.584,3.519,5,10,500
15,51,54,PathIntegralAnnealingSampler,True,5,193.6,125.0,1.5488,3.47,5,10,500
15,61,55,PathIntegralAnnealingSampler,True,5,253.0,176.0,1.4375,3.432,5,10,500
15,52,56,PathIntegralAnnealingSampler,True,5,179.6,130.0,1.3815384615384616,3.477,5,10,500
15,50,57,PathIntegralAnnealingSampler,True,5,197.2,123.42284518898988,1.5977593102641545,3.414,5,10,500
15,61,58,PathIntegralAnnealingSampler,True,5,250.4,179.07195875278134,1.398320550822203,3.533,5,10,500
15,57,59,PathIntegralAnnealingSampler,True,5,234.8,155.0,1.5148387096774194,3.554,5,10,500
15,52,60,PathIntegralAnnealingSampler,True,5,196.8,130.0,1.5138461538461538,3.572,5,10,500
15,42,61,PathIntegralAnnealingSampler,True,5,158.0,88.70431474215995,1.781198586103329,3.391,5,10,500
15,51,62,PathIntegralAnnealingSampler,True,5,205.4,125.0,1.6432,3.397,5,10,500
15,56,63,PathIntegralAnnealingSampler,True,5,220.4,150.0,1.4693333333333334,3.403,5,10,500
15,51,64,PathIntegralAnnealingSampler,True,5,201.0,125.0,1.608,3.388,5,10,500
15,56,65,PathIntegralAnnealingSampler,True,5,228.0,150.0,1.52,3.413,5,10,500
15,49,66,PathIntegralAnnealingSampler,True,5,192.2,116.00000000000006,1.656896551724137,3.402,5,10,500
15,57,67,PathIntegralAnnealingSampler,True,5,221.4,155.0,1.4283870967741936,3.393,5,10,500
15,56,68,PathIntegralAnnealingSampler,True,5,238.8,160.87286447558742,1.4844019889770663,3.389,5,10,500
15,57,69,PathIntegralAnnealingSampler,True,5,224.4,155.0,1.447741935483871,3.403,5,10,500
15,58,70,PathIntegralAnnealingSampler,True,5,237.0,160.0,1.48125,3.403,5,10,500
15,53,71,PathIntegralAnnealingSampler,True,5,208.8,135.0,1.5466666666666669,3.406,5,10,500
15,53,72,PathIntegralAnnealingSampler,True,5,204.2,135.0,1.5125925925925925,3.371,5,10,500
15,56,73,PathIntegralAnnealingSampler,True,5,228.4,150.0,1.5226666666666666,3.36,5,10,500
15,52,74,PathIntegralAnnealingSampler,True,5,200.4,130.0,1.5415384615384615,3.371,5,10,500
15,50,75,PathIntegralAnnealingSampler,True,5,194.2,121.89180592206328,1.5932162012938755,3.37,5,10,500
15,51,76,PathIntegralAnnealingSampler,True,5,185.8,125.0,1.4864000000000002,3.363,5,10,500
15,45,77,PathIntegralAnnealingSampler,True,5,164.4,100.69665652723057,1.6326262029915826,3.357,5,10,500
15,41,78,PathIntegralAnnealingSampler,True,5,142.2,84.00000000000006,1.6928571428571415,3.367,5,10,500
15,54,79,PathIntegralAnnealingSampler,True,5,210.6,140.0,1.5042857142857142,3.375,5,10,500
15,47,80,PathIntegralAnnealingSampler,True,5,175.8,108.00000000000006,1.627777777777777,3.382,5,10,500
15,63,81,PathIntegralAnnealingSampler,True,5,264.6,188.0,1.4074468085106384,3.369,5,10,500
15,49,82,PathIntegralAnnealingSampler,True,5,194.2,130.11076143410978,1.4925744639373744,3.353,5,10,500
15,53,83,PathIntegralAnnealingSampler,True,5,210.2,135.0,1.557037037037037,3.379,5,10,500
15,49,84,PathIntegralAnnealingSampler,True,5,185.4,116.00000000000006,1.5982758620689648,3.399,5,10,500
15,45,85,PathIntegralAnnealingSampler,True,5,159.2,100.00000000000006,1.591999999999999,3.4,5,10,500
15,58,86,PathIntegralAnnealingSampler,True,5,236.0,160.0,1.475,3.395,5,10,500
15,56,87,PathIntegralAnnealingSampler,True,5,226.4,150.0,1.5093333333333334,3.383,5,10,500
15,49,88,PathIntegralAnnealingSampler,True,5,181.2,116.00000000000006,1.5620689655172406,3.4,5,10,500
15,56,89,PathIntegralAnnealingSampler,True,5,227.4,150.0,1.516,3.404,5,10,500
15,55,90,PathIntegralAnnealingSampler,True,5,217.4,145.0,1.4993103448275862,3.386,5,10,500
15,58,91,PathIntegralAnnealingSampler,True,5,233.4,160.0,1.45875,3.384,5,10,500
15,58,92,PathIntegralAnnealingSampler,True,5,232.8,160.0,1.455,3.386,5,10,500
15,56,93,PathIntegralAnnealingSampler,True,5,229.0,150.0,1.5266666666666666,3.387,5,10,500
15,52,94,PathIntegralAnnealingSampler,True,5,208.2,130.0,1.6015384615384614,3.378,5,10,500
15,50,95,PathIntegralAnnealingSampler,True,5,196.8,127.92768819134712,1.5383690800824723,3.388,5,10,500
