n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps,beta_schedule_type,beta_min,beta_max
20,90,18,PathIntegralAnnealingSampler,exact,True,5,592.8,275.0,2.1556363636363636,23.203,5,10,1000,geometric,0.01,10.0
20,82,19,PathIntegralAnnealingSampler,lucas,True,5,388.4,243.77267244364427,1.5932876975362809,24.207,5,10,1000,geometric,0.5,5.0
20,82,19,PathIntegralAnnealingSampler,exact,True,4,552.25,243.77267244364427,2.2654303062935406,23.221,5,10,1000,geometric,0.01,10.0
20,100,20,PathIntegralAnnealingSampler,lucas,True,5,521.4,336.0,1.5517857142857143,24.503,5,10,1000,geometric,0.5,5.0
20,100,20,PathIntegralAnnealingSampler,exact,True,5,682.2,336.0,2.030357142857143,23.752,5,10,1000,geometric,0.01,10.0
20,93,21,PathIntegralAnnealingSampler,lucas,True,5,476.2,330.66121725720274,1.4401447014259032,24.03,5,10,1000,geometric,0.5,5.0
20,93,21,PathIntegralAnnealingSampler,exact,True,5,639.0,330.66121725720274,1.9324915250129195,23.25,5,10,1000,geometric,0.01,10.0
20,104,22,PathIntegralAnnealingSampler,lucas,True,4,560.75,364.0,1.540521978021978,23.573,5,10,1000,geometric,0.5,5.0
20,104,22,PathIntegralAnnealingSampler,exact,True,5,686.4,364.0,1.8857142857142857,23.217,5,10,1000,geometric,0.01,10.0
20,101,23,PathIntegralAnnealingSampler,lucas,True,5,527.0,345.5876163343076,1.5249389014281152,23.983,5,10,1000,geometric,0.5,5.0
20,101,23,PathIntegralAnnealingSampler,exact,True,5,677.4,345.5876163343076,1.960139680886917,24.185,5,10,1000,geometric,0.01,10.0
20,100,24,PathIntegralAnnealingSampler,lucas,True,1,533.0,342.1010680032468,1.5580191056139627,24.126,5,10,1000,geometric,0.5,5.0
20,100,24,PathIntegralAnnealingSampler,exact,True,4,655.25,342.1010680032468,1.915369641563882,23.09,5,10,1000,geometric,0.01,10.0
20,92,25,PathIntegralAnnealingSampler,lucas,True,5,467.2,324.37786396689694,1.4402955685276915,24.841,5,10,1000,geometric,0.5,5.0
20,92,25,PathIntegralAnnealingSampler,exact,True,5,618.2,324.37786396689694,1.9058020557872837,23.161,5,10,1000,geometric,0.01,10.0
20,91,26,PathIntegralAnnealingSampler,lucas,True,5,450.6,299.79507113921073,1.5030267118393104,24.352,5,10,1000,geometric,0.5,5.0
20,91,26,PathIntegralAnnealingSampler,exact,True,5,614.2,299.79507113921073,2.0487328149394237,23.129,5,10,1000,geometric,0.01,10.0
20,93,27,PathIntegralAnnealingSampler,lucas,True,5,483.2,323.60825737140215,1.4931633819387862,24.446,5,10,1000,geometric,0.5,5.0
20,93,27,PathIntegralAnnealingSampler,exact,True,4,627.0,323.60825737140215,1.9375278155538473,23.117,5,10,1000,geometric,0.01,10.0
20,92,28,PathIntegralAnnealingSampler,lucas,True,2,474.5,287.0,1.6533101045296168,24.1,5,10,1000,geometric,0.5,5.0
20,92,28,PathIntegralAnnealingSampler,exact,True,5,610.0,287.0,2.1254355400696863,23.424,5,10,1000,geometric,0.01,10.0
20,96,29,PathIntegralAnnealingSampler,lucas,True,4,502.75,311.0000000000001,1.616559485530546,24.242,5,10,1000,geometric,0.5,5.0
20,96,29,PathIntegralAnnealingSampler,exact,True,5,679.2,311.0000000000001,2.183922829581993,23.218,5,10,1000,geometric,0.01,10.0
20,100,30,PathIntegralAnnealingSampler,lucas,True,5,535.8,384.1668584608115,1.3947064620480696,24.026,5,10,1000,geometric,0.5,5.0
20,100,30,PathIntegralAnnealingSampler,exact,True,5,670.8,384.1668584608115,1.7461162649157245,23.528,5,10,1000,geometric,0.01,10.0
20,93,31,PathIntegralAnnealingSampler,lucas,True,5,476.6,293.0,1.6266211604095564,24.162,5,10,1000,geometric,0.5,5.0
20,93,31,PathIntegralAnnealingSampler,exact,True,5,630.4,293.0,2.1515358361774743,23.329,5,10,1000,geometric,0.01,10.0
20,106,32,PathIntegralAnnealingSampler,lucas,True,2,555.0,378.0,1.4682539682539681,24.156,5,10,1000,geometric,0.5,5.0
20,106,32,PathIntegralAnnealingSampler,exact,True,4,720.25,378.0,1.9054232804232805,23.176,5,10,1000,geometric,0.01,10.0
20,89,33,PathIntegralAnnealingSampler,lucas,True,5,452.0,280.61487965979774,1.6107485125093164,24.251,5,10,1000,geometric,0.5,5.0
20,89,33,PathIntegralAnnealingSampler,exact,True,4,605.0,280.61487965979774,2.155979756787912,24.963,5,10,1000,geometric,0.01,10.0
20,87,34,PathIntegralAnnealingSampler,lucas,True,5,420.8,283.3954513242101,1.4848509319177332,24.304,5,10,1000,geometric,0.5,5.0
20,87,34,PathIntegralAnnealingSampler,exact,True,4,597.5,283.3954513242101,2.1083612923499184,23.191,5,10,1000,geometric,0.01,10.0
