assignment,cost_term,constraint_term,mu_thermometer_coeff,mu_bijective_coeff
101|101|001,1,3*mu_thermometer + 9*mu_bijective,3,9
101|101|010,3,3*mu_thermometer + 3*mu_bijective,3,3
101|101|011,2,3*mu_thermometer + 6*mu_bijective,3,6
101|101|100,1,2*mu_thermometer + 5*mu_bijective,2,5
101|101|101,0,3*mu_thermometer + 8*mu_bijective,3,8
101|101|110,2,2*mu_thermometer + 2*mu_bijective,2,2
101|101|111,1,2*mu_thermometer + 5*mu_bijective,2,5
101|110|000,4,1*mu_thermometer + 2*mu_bijective,1,2
101|110|001,3,2*mu_thermometer + 3*mu_bijective,2,3
101|110|010,5,2*mu_thermometer + 1*mu_bijective,2,1
101|110|011,4,2*mu_thermometer + 2*mu_bijective,2,2
101|110|100,3,1*mu_thermometer + 1*mu_bijective,1,1
101|110|101,2,2*mu_thermometer + 2*mu_bijective,2,2
101|110|110,4,1*mu_thermometer,1,0
101|110|111,3,1*mu_thermometer + 1*mu_bijective,1,1
101|111|000,3,1*mu_thermometer + 3*mu_bijective,1,3
101|111|001,2,2*mu_thermometer + 6*mu_bijective,2,6
101|111|010,4,2*mu_thermometer + 2*mu_bijective,2,2
101|111|011,3,2*mu_thermometer + 5*mu_bijective,2,5
101|111|100,2,1*mu_thermometer + 2*mu_bijective,1,2
101|111|101,1,2*mu_thermometer + 5*mu_bijective,2,5
101|111|110,3,1*mu_thermometer + 1*mu_bijective,1,1
101|111|111,2,1*mu_thermometer + 4*mu_bijective,1,4
110|000|000,4,6*mu_bijective,0,6
110|000|001,5,1*mu_thermometer + 5*mu_bijective,1,5
110|000|010,3,1*mu_thermometer + 5*mu_bijective,1,5
110|000|011,4,1*mu_thermometer + 4*mu_bijective,1,4
110|000|100,3,3*mu_bijective,0,3
110|000|101,4,1*mu_thermometer + 2*mu_bijective,1,2
110|000|110,2,2*mu_bijective,0,2
110|000|111,3,1*mu_bijective,0,1
110|001|000,5,1*mu_thermometer + 5*mu_bijective,1,5
110|001|001,6,2*mu_thermometer + 6*mu_bijective,2,6
110|001|010,4,2*mu_thermometer + 4*mu_bijective,2,4
110|001|011,5,2*mu_thermometer + 5*mu_bijective,2,5
110|001|100,4,1*mu_thermometer + 2*mu_bijective,1,2
110|001|101,5,2*mu_thermometer + 3*mu_bijective,2,3
110|001|110,3,1*mu_thermometer + 1*mu_bijective,1,1
110|001|111,4,1*mu_thermometer + 2*mu_bijective,1,2
110|010|000,3,1*mu_thermometer + 5*mu_bijective,1,5
110|010|001,4,2*mu_thermometer + 4*mu_bijective,2,4
110|010|010,2,2*mu_thermometer + 6*mu_bijective,2,6
110|010|011,3,2*mu_thermometer + 5*mu_bijective,2,5
110|010|100,2,1*mu_thermometer + 2*mu_bijective,1,2
110|010|101,3,2*mu_thermometer + 1*mu_bijective,2,1
110|010|110,1,1*mu_thermometer + 3*mu_bijective,1,3
110|010|111,2,1*mu_thermometer + 2*mu_bijective,1,2
110|011|000,4,1*mu_thermometer + 4*mu_bijective,1,4
110|011|001,5,2*mu_thermometer + 5*mu_bijective,2,5
110|011|010,3,2*mu_thermometer + 5*mu_bijective,2,5
