solver_name,beta_schedule_type,num_vertices,graph_id,num_edges,penalty_mode,mu_thermometer,mu_bijective,energy,minla_cost,best_known_cost,is_feasible,solve_time
QWaveSampler_exponential,exponential,6,7,8,exact,28,28,14.0,14,11,True,0.1498422622680664
QWaveSampler_exponential,exponential,6,8,9,exact,30,30,16.0,16,16,True,0.14750885963439941
QWaveSampler_exponential,exponential,6,9,10,exact,32,32,18.0,18,18,True,0.14523077011108398
QWaveSampler_exponential,exponential,6,10,7,exact,26,26,11.0,11,10,True,0.1461014747619629
QWaveSampler_exponential,exponential,6,11,8,exact,28,28,12.0,12,12,True,0.14757108688354492
QWaveSampler_exponential,exponential,6,12,6,exact,24,24,9.0,9,9,True,0.1453258991241455
QWaveSampler_exponential,exponential,6,13,6,exact,24,24,11.0,11,9,True,0.1452188491821289
QWaveSampler_exponential,exponential,6,14,8,exact,28,28,15.0,15,15,True,0.14430975914001465
QWaveSampler_exponential,exponential,6,15,9,exact,30,30,17.0,17,15,True,0.14601898193359375
QWaveSampler_exponential,exponential,6,16,5,exact,21,21,8.0,8,6,True,0.14490985870361328
QWaveSampler_exponential,exponential,6,17,8,exact,28,28,16.0,16,14,True,0.1445157527923584
QWaveSampler_exponential,exponential,6,18,7,exact,26,26,11.0,11,11,True,0.14452743530273438
QWaveSampler_exponential,exponential,6,19,6,exact,24,24,10.0,10,8,True,0.14657187461853027
QWaveSampler_exponential,exponential,6,20,9,exact,30,30,13.0,13,13,True,0.1437673568725586
QWaveSampler_exponential,exponential,6,21,9,exact,30,30,17.0,17,17,True,0.14687490463256836
QWaveSampler_exponential,exponential,6,22,6,exact,24,24,7.0,7,7,True,0.1481490135192871
QWaveSampler_exponential,exponential,6,23,11,exact,33,33,21.0,21,21,True,0.14401483535766602
QWaveSampler_exponential,exponential,6,24,9,exact,30,30,16.0,16,15,True,0.14602303504943848
QWaveSampler_exponential,exponential,6,25,10,exact,32,32,17.0,17,17,True,0.1440131664276123
QWaveSampler_exponential,exponential,6,26,9,exact,30,30,15.0,15,15,True,0.14510512351989746
QWaveSampler_exponential,exponential,6,27,6,exact,24,24,8.0,8,8,True,0.14850425720214844
QWaveSampler_exponential,exponential,6,28,7,exact,26,26,10.0,10,10,True,0.14302659034729004
QWaveSampler_exponential,exponential,6,29,9,exact,30,30,16.0,16,16,True,0.1480426788330078
QWaveSampler_exponential,exponential,6,30,8,exact,28,28,13.0,13,13,True,0.143585205078125
QWaveSampler_exponential,exponential,6,31,6,exact,24,24,9.0,9,8,True,0.1455211639404297
QWaveSampler_exponential,exponential,6,32,6,exact,24,24,9.0,9,8,True,0.14650940895080566
QWaveSampler_exponential,exponential,6,33,5,exact,21,21,6.0,6,6,True,0.14449024200439453
QWaveSampler_exponential,exponential,6,34,9,exact,30,30,17.0,17,16,True,0.14551019668579102
QWaveSampler_exponential,exponential,6,35,7,exact,26,26,13.0,13,11,True,0.14335393905639648
QWaveSampler_exponential,exponential,6,36,10,exact,32,32,21.0,21,19,True,0.14450883865356445
QWaveSampler_exponential,exponential,6,37,10,exact,32,32,19.0,19,19,True,0.14405322074890137
QWaveSampler_exponential,exponential,6,38,5,exact,21,21,7.0,7,5,True,0.14857196807861328
QWaveSampler_exponential,exponential,6,39,7,exact,26,26,11.0,11,13,True,0.1450204849243164
QWaveSampler_exponential,exponential,6,40,7,exact,26,26,12.0,12,12,True,0.14776992797851562
