n,m,graph_id,solver,penalty,feasible,feasible_seed_count,avg_minla_cost,lower_bound,approx_ratio,time_s,num_seeds,num_reads,num_sweeps,beta_schedule_type,beta_min,beta_max
15,58,91,SimulatedAnnealingSampler,lucas,True,5,228.8,160.0,1.4300000000000002,0.108,5,10,1000,linear,0.1,0.5
15,58,91,SimulatedAnnealingSampler,exact,True,2,297.0,160.0,1.85625,0.083,5,10,1000,geometric,0.01,0.1
15,58,92,SimulatedAnnealingSampler,lucas,True,5,231.4,160.0,1.44625,0.118,5,10,1000,linear,0.1,0.5
15,58,92,SimulatedAnnealingSampler,exact,True,1,319.0,160.0,1.99375,0.075,5,10,1000,geometric,0.01,0.1
15,56,93,SimulatedAnnealingSampler,lucas,True,4,230.0,150.0,1.5333333333333334,0.111,5,10,1000,linear,0.1,0.5
15,56,93,SimulatedAnnealingSampler,exact,True,2,303.0,150.0,2.02,0.076,5,10,1000,geometric,0.01,0.1
15,52,94,SimulatedAnnealingSampler,lucas,True,5,203.2,130.0,1.563076923076923,0.111,5,10,1000,linear,0.1,0.5
15,52,94,SimulatedAnnealingSampler,exact,True,4,287.0,130.0,2.207692307692308,0.078,5,10,1000,geometric,0.01,0.1
15,50,95,SimulatedAnnealingSampler,lucas,True,5,202.0,127.92768819134712,1.5790170435805864,0.118,5,10,1000,linear,0.1,0.5
15,50,95,SimulatedAnnealingSampler,exact,True,5,236.6,127.92768819134712,1.8494823391641917,0.082,5,10,1000,geometric,0.01,0.1
15,57,96,SimulatedAnnealingSampler,lucas,True,5,235.0,169.66144381116388,1.3851114002162983,0.111,5,10,1000,linear,0.1,0.5
15,57,96,SimulatedAnnealingSampler,exact,True,1,326.0,169.66144381116388,1.921473687108567,0.08,5,10,1000,geometric,0.01,0.1
15,52,97,SimulatedAnnealingSampler,lucas,True,5,197.4,130.0,1.5184615384615385,0.121,5,10,1000,linear,0.1,0.5
15,52,97,SimulatedAnnealingSampler,exact,True,3,266.6666666666667,130.0,2.0512820512820515,0.079,5,10,1000,geometric,0.01,0.1
15,48,98,SimulatedAnnealingSampler,lucas,True,5,175.0,112.00000000000006,1.5624999999999991,0.117,5,10,1000,linear,0.1,0.5
15,48,98,SimulatedAnnealingSampler,exact,True,3,249.33333333333334,112.00000000000006,2.226190476190475,0.076,5,10,1000,geometric,0.01,0.1
15,57,99,SimulatedAnnealingSampler,lucas,True,5,215.4,155.0,1.3896774193548387,0.117,5,10,1000,linear,0.1,0.5
15,57,99,SimulatedAnnealingSampler,exact,True,3,300.3333333333333,155.0,1.9376344086021504,0.08,5,10,1000,geometric,0.01,0.1
20,98,0,SimulatedAnnealingSampler,lucas,False,0,,323.0000000000001,,0.188,5,10,1000,linear,0.1,0.5
20,98,0,SimulatedAnnealingSampler,exact,False,0,,323.0000000000001,,0.08,5,10,1000,geometric,0.01,0.1
20,87,1,SimulatedAnnealingSampler,lucas,True,4,440.25,275.4245282778259,1.5984415140975081,0.2,5,10,1000,linear,0.1,0.5
20,87,1,SimulatedAnnealingSampler,exact,False,0,,275.4245282778259,,0.087,5,10,1000,geometric,0.01,0.1
20,96,2,SimulatedAnnealingSampler,lucas,True,5,524.0,333.9656616440207,1.5690235858994985,0.184,5,10,1000,linear,0.1,0.5
20,96,2,SimulatedAnnealingSampler,exact,False,0,,333.9656616440207,,0.088,5,10,1000,geometric,0.01,0.1
20,96,3,SimulatedAnnealingSampler,lucas,True,5,492.0,359.17824201573745,1.369793440824411,0.188,5,10,1000,linear,0.1,0.5
20,96,3,SimulatedAnnealingSampler,exact,False,0,,359.17824201573745,,0.082,5,10,1000,geometric,0.01,0.1
20,78,4,SimulatedAnnealingSampler,lucas,True,5,386.2,243.25096155253172,1.5876607333229285,0.188,5,10,1000,linear,0.1,0.5
20,78,4,SimulatedAnnealingSampler,exact,False,0,,243.25096155253172,,0.094,5,10,1000,geometric,0.01,0.1
20,95,5,SimulatedAnnealingSampler,lucas,True,4,496.75,305.0,1.6286885245901639,0.186,5,10,1000,linear,0.1,0.5
20,95,5,SimulatedAnnealingSampler,exact,False,0,,305.0,,0.093,5,10,1000,geometric,0.01,0.1
